Priced In,USD,USD,USD,USD,USD,USD
Price Type,Bid,Ask,Bid,Ask,Bid,Ask
Summary,High,High,Low,Low,Average,Average
21/11/05,488.6,491.5,484.1,486.9,486.28,489.1
22/11/05,493.05,495.85,489.45,492.5,491.45,494.24
23/11/05,492.7,495.75,488.8,489.8,490.52,493.25
24/11/05,493.2,496,490.9,493.1,492.26,494.96
25/11/05,495.6,498.65,493.45,496.25,494.16,497.12
26/11/05,,,,,,
27/11/05,,,,,,
28/11/05,497.7,500.8,494.9,497.95,496.59,499.44
29/11/05,500.95,504,496.7,499.75,498.83,501.83
30/11/05,498.2,501,492,492.8,493.7,496.52
1/12/05,493.6,496.25,490.45,493.5,492.25,494.96
2/12/05,505.7,508.75,502.45,505.35,503.39,506.38
3/12/05,493.35,495,493.35,495,493.35,495
4/12/05,,,,,,
5/12/05,506.9,510,502.2,505.3,504.84,507.8
6/12/05,509.5,512.75,506.45,509,507.76,510.63
7/12/05,512.3,515.4,508.4,511.5,510.58,513.67
8/12/05,517.4,520.5,513.9,517,516.08,519.17
9/12/05,522.3,525.4,519.3,522.4,520.7,523.8
10/12/05,525.3,526.9,525.3,526.9,525.3,526.9
11/12/05,,,,,,
12/12/05,539.2,542.25,524.9,527.9,533.72,536.71
13/12/05,526.95,530,520.7,523.25,522.53,525.59
14/12/05,516.2,519.25,512.2,515.25,513.7,516.8
15/12/05,504.6,507.6,500.2,502.1,502.91,505.85
16/12/05,501.7,504.75,492.95,496,496.97,500.1
17/12/05,502.5,504.5,502.5,504.5,502.5,504.5
18/12/05,,,,,,
19/12/05,508.75,510.9,500.45,503.75,504.65,507.55
20/12/05,506.9,510,502.5,505.6,505.53,508.43
21/12/05,492.7,495.8,488.9,492,490.35,493.39
22/12/05,495.4,498.5,493.2,496.25,494.19,497.32
23/12/05,503.2,506.25,502.45,505.4,502.75,505.8
24/12/05,502.2,503.9,502.2,503.9,502.2,503.9
25/12/05,,,,,,
26/12/05,,,,,,
27/12/05,,,,,,
28/12/05,509.45,512.5,503.2,506.25,507.81,510.86
29/12/05,516.45,519.5,514.45,517.75,515.41,518.54
30/12/05,513.2,516.5,512.2,515.5,512.7,516
31/12/05,516.8,518.5,516.8,518.5,516.8,518.5
1/01/06,,,,,,
2/01/06,,,,,,
3/01/06,519.45,522.5,516.2,519.25,517.98,521.13
4/01/06,534.1,537.2,517.45,520.5,530.9,533.98
5/01/06,533.4,536.4,529.95,533.25,531.38,534.45
6/01/06,528.95,532,522.45,525.25,525.5,528.49
7/01/06,538.9,540.5,538.9,540.5,538.9,540.5
8/01/06,,,,,,
9/01/06,542.7,546,538.2,541.25,541.18,544.32
10/01/06,547.45,550.5,543.95,547,545.58,548.65
11/01/06,543.2,546.25,539,542.1,541.81,544.79
12/01/06,547.8,550.9,545.95,549,547.01,549.99
13/01/06,546,549.1,544.7,547.75,545.26,548.34
14/01/06,554.1,556.75,554.1,555.75,554.1,556.25
15/01/06,,,,,,
16/01/06,558.3,560.55,554.7,557.8,556.19,558.94
17/01/06,562.95,566,556.7,558.25,560.21,563.07
18/01/06,553.5,556.6,543.45,546,547.39,550.01
19/01/06,549.95,553,541.95,545,546.92,550
20/01/06,559.3,562.4,554.8,557.85,556.68,559.83
21/01/06,553,554.7,553,554.7,553,554.7
22/01/06,,,,,,
23/01/06,555.7,558.75,551.75,552.75,554.33,557.27
24/01/06,558.2,561.25,555.1,558.2,556.5,559.59
25/01/06,560.9,564,556.45,559.5,558.5,561.56
26/01/06,549.69,553.76,549.69,553.76,549.69,553.76
27/01/06,558.9,562.1,556.7,559.75,557.74,560.89
28/01/06,558.7,560.5,558.7,560.5,558.7,560.5
29/01/06,,,,,,
30/01/06,561.4,564.6,558.3,561.5,559.97,563.14
31/01/06,569.45,572.5,567,570.2,568.09,571.27
1/02/06,568.2,571.25,565,566.7,566.75,569.7
2/02/06,572,573.65,565.3,568.35,569.28,572.22
3/02/06,572.2,575.25,570.55,572.5,571.36,573.96
4/02/06,,,,,,
5/02/06,,,,,,
6/02/06,571,574.2,566.4,569.6,569.45,572.6
7/02/06,569.95,573,567.2,570.4,568.63,571.71
8/02/06,549.5,552.7,546.45,549.75,547.56,550.73
9/02/06,557.8,561,548.8,552,556,559.14
10/02/06,565.3,568.5,556.1,559.3,560.57,563.78
11/02/06,,,,,,
12/02/06,550.85,552.5,550.85,552.5,550.85,552.5
13/02/06,550.45,553.5,543.45,546.5,544.68,547.92
14/02/06,546.2,549.4,533.95,537.75,537.25,540.49
15/02/06,546.7,550,543.7,547.5,545.17,548.83
16/02/06,539.4,542.6,535.95,539.25,537.44,540.91
17/02/06,545.7,550,544.2,545.1,544.7,548.12
18/02/06,551.3,553.1,551.3,553.1,551.3,553.1
19/02/06,,,,,,
